Año;Mes;T. Media;T. Máx;T. Mín;V. media Viento;Rachas máx;Presión media;Lluvia 
1995;1;11 °C;22 °C;3 °C;22.5 km/h;92.4 km/h;1004.4 hPa;26.9 mm
1995;2;11 °C;23 °C;1 °C;23.7 km/h;114.8 km/h;1008.9 hPa;48.1 mm
1995;3;8 °C;20 °C;-3 °C;25.6 km/h;92.4 km/h;1002.9 hPa;62.9 mm
1995;4;8 °C;17 °C;-3 °C;20.7 km/h;85.2 km/h;1002.1 hPa;31.7 mm
1995;5;5 °C;13 °C;-3 °C;20.6 km/h;92.4 km/h;1003.3 hPa;49 mm
1995;6;1 °C;7 °C;-7 °C;18 km/h;85.2 km/h;1001.1 hPa;14.4 mm
1995;7;-1 °C;4 °C;-11 °C;21.9 km/h;96.5 km/h;996.5 hPa;46.5 mm
1995;8;1 °C;6 °C;-11 °C;21 km/h;92.4 km/h;1007.2 hPa;17.5 mm
1995;9;4 °C;13 °C;-3 °C;25.1 km/h;92.4 km/h;1004.8 hPa;21.3 mm
1995;10;7 °C;16 °C;-1 °C;24.2 km/h;92.4 km/h;1005.9 hPa;22.9 mm
1995;11;8 °C;18 °C;-2 °C;30 km/h;114.8 km/h;1003.6 hPa;20.5 mm
1995;12;10 °C;26 °C;1 °C;27.4 km/h;109.5 km/h;1004.5 hPa;4.6 mm
1996;1;9 °C;18 °C;1 °C;25.8 km/h;92.4 km/h;1001.9 hPa;36.2 mm
1996;2;10 °C;19 °C;2 °C;23 km/h;81.3 km/h;1001.4 hPa;30.5 mm
1996;3;9 °C;19 °C;1 °C;24.3 km/h;92.4 km/h;998.8 hPa;95.4 mm
1996;4;6 °C;12 °C;0 °C;17.6 km/h;92.4 km/h;1002.2 hPa;84.1 mm
1996;5;6 °C;11 °C;-2 °C;22.5 km/h;92.4 km/h;1000.2 hPa;60 mm
1996;6;2 °C;10 °C;-5 °C;20.1 km/h;92.4 km/h;1008 hPa;22.5 mm
1996;7;3 °C;12 °C;-6 °C;19.9 km/h;92.4 km/h;1012.1 hPa;14.5 mm
1996;8;3 °C;11 °C;-3 °C;21.4 km/h;92.4 km/h;1002.3 hPa;40.5 mm
1996;9;6 °C;19 °C;-1 °C;21.5 km/h;79.5 km/h;1005.3 hPa;17.2 mm
1996;10;6 °C;16 °C;-2 °C;22.6 km/h;92.4 km/h;1004.4 hPa;26.2 mm
1996;11;8 °C;18 °C;-1 °C;31.3 km/h;101.9 km/h;995 hPa;27.2 mm
1996;12;10 °C;20 °C;0 °C;28 km/h;109.5 km/h;1002.6 hPa;29.3 mm
1997;1;10 °C;22 °C;2 °C;26.3 km/h;92.4 km/h;996.5 hPa;35.3 mm
1997;2;9 °C;17 °C;0 °C;21.5 km/h;92.4 km/h;1004.7 hPa;47.2 mm
1997;3;9 °C;22 °C;1 °C;21.5 km/h;92.4 km/h;1009.6 hPa;15.8 mm
1997;4;6 °C;16 °C;-2 °C;22 km/h;111.1 km/h;998.7 hPa;87.5 mm
1997;5;3 °C;11 °C;-6 °C;14.1 km/h;70.2 km/h;1011.5 hPa;34.6 mm
1997;6;2 °C;9 °C;-8 °C;16.2 km/h;68.3 km/h;1007.4 hPa;13.7 mm
